Distance_deg,Density_Type,Predictor,Beta,SE,P_value,CI_Lower_95,CI_Upper_95,R2,Adj_R2,F_pvalue,N
5.0,Angular,Gender,145.8972027888837,147.74856166442234,0.32713114041275326,-149.26448023091905,441.05888580868645,0.4840676213894254,0.43569896089468396,8.90746138000084e-08,71
5.0,Angular,Corneal curvature (mm),-496.77146513661,199.85014580115268,0.015551400687621127,-896.0180278232872,-97.52490244993282,0.4840676213894254,0.43569896089468396,8.90746138000084e-08,71
5.0,Angular,Anterior chamber depth (mm),321.36601041728613,133.00521615714547,0.018547170823142826,55.657545921221924,587.0744749133503,0.4840676213894254,0.43569896089468396,8.90746138000084e-08,71
5.0,Angular,Intercept,-142.6992367694711,2584.139577694309,0.9561342832792026,-5305.111502025391,5019.713028486449,0.4840676213894254,0.43569896089468396,8.90746138000084e-08,71
5.5,Linear,Axial length (mm),405.5174599778853,707.9244707376546,0.5687697015925388,-1008.7242482318849,1819.7591681876556,0.18771997092309078,0.11156871819713055,0.03304055144186671,71
5.5,Linear,Age,-58.086616933823585,139.40171324346065,0.6783030050149225,-336.5735533429763,220.40031947532916,0.18771997092309078,0.11156871819713055,0.03304055144186671,71
5.5,Linear,Spherical equivalent refraction (D),-466.0868311944501,335.1303024906402,0.16911423341400914,-1135.5865745404606,203.4129121515603,0.18771997092309078,0.11156871819713055,0.03304055144186671,71
5.5,Linear,Gender,1332.946321608882,1742.9876517930763,0.4472323474225154,-2149.071797487707,4814.964440705471,0.18771997092309078,0.11156871819713055,0.03304055144186671,71
5.5,Linear,Corneal curvature (mm),-2628.213423932021,2357.629288680473,0.2691178864628792,-7338.11936781693,2081.692519952888,0.18771997092309078,0.11156871819713055,0.03304055144186671,71
5.5,Linear,Anterior chamber depth (mm),3457.462441420431,1569.0606174056377,0.031163223236282633,322.90351660716124,6592.021366233701,0.18771997092309078,0.11156871819713055,0.03304055144186671,71
5.5,Linear,Intercept,23665.806017753144,30485.05734127591,0.44042651301155167,-37235.09704648902,84566.7090819953,0.18771997092309078,0.11156871819713055,0.03304055144186671,71
5.5,Angular,Axial length (mm),282.25740598188924,66.17481358287351,6.7132273043108e-05,150.0580185184376,414.45679344534085,0.464794072073173,0.414618516330033,2.6693724956314346e-07,71
5.5,Angular,Age,-6.9137749077642585,13.030885028464839,0.5975542272401031,-32.94596035113292,19.118410535604397,0.464794072073173,0.414618516330033,2.6693724956314346e-07,71
5.5,Angular,Spherical equivalent refraction (D),-49.11665345721852,31.32705000320385,0.12184356351121295,-111.69963023091202,13.466323316474984,0.464794072073173,0.414618516330033,2.6693724956314346e-07,71
5.5,Angular,Gender,121.88176480199323,162.92964532568212,0.4571618258104906,-203.60761923258596,447.3711488365724,0.464794072073173,0.414618516330033,2.6693724956314346e-07,71
5.5,Angular,Corneal curvature (mm),-386.3072147294552,220.38463865133136,0.0844118876585194,-826.576142719309,53.9617132603986,0.464794072073173,0.414618516330033,2.6693724956314346e-07,71
5.5,Angular,Anterior chamber depth (mm),236.00422965092275,146.67142915522282,0.11252375811873357,-57.00563381362247,529.014093115468,0.464794072073173,0.414618516330033,2.6693724956314346e-07,71
5.5,Angular,Intercept,-2431.593902881815,2849.658501732649,0.39667914597796194,-8124.441196471653,3261.253390708023,0.464794072073173,0.414618516330033,2.6693724956314346e-07,71
6.0,Linear,Axial length (mm),243.14133574204504,731.7937182573704,0.7407832880379273,-1218.7846760641105,1705.0673475482004,0.19212553676592237,0.1163873058377276,0.028873565170794445,71
6.0,Linear,Age,-31.080688139904638,144.10195194917097,0.8299188956636178,-318.9574307938267,256.79605451401744,0.19212553676592237,0.1163873058377276,0.028873565170794445,71
6.0,Linear,Spherical equivalent refraction (D),-252.79871758076033,346.42996576286936,0.46822060238706786,-944.8721333295074,439.2746981679867,0.19212553676592237,0.1163873058377276,0.028873565170794445,71
6.0,Linear,Gender,2382.360011573046,1801.7563558062416,0.19079335397200142,-1217.0620902764626,5981.782113422554,0.19212553676592237,0.1163873058377276,0.028873565170794445,71
